/out X,/out Y,/in X,/in Y
5.137908874811086e-07,1.047723657307269,5.137908874811086e-07,1
5.140960432367066e-07,1.04382741795397,5.140960432367066e-07,1
5.144240574729652e-07,1.039890059881188,5.144240574729652e-07,1
5.147824692736729e-07,1.035890016941025,5.147824692736729e-07,1
5.151828503643271e-07,1.031792336131032,5.151828503643271e-07,1
5.156454469550864e-07,1.027529642962304,5.156454469550864e-07,1
5.162142409009087e-07,1.02293830402022,5.162142409009087e-07,1
5.169568349348394e-07,1.017911601782124,5.169568349348394e-07,1
5.178543034889748e-07,1.013086208221812,5.178543034889748e-07,1
5.186264892084956e-07,1.00985800847104,5.186264892084956e-07,1
5.193504118346877e-07,1.007468478435692,5.193504118346877e-07,1
5.200844164457714e-07,1.005553800467871,5.200844164457714e-07,1
5.208494891524504e-07,1.003992838136925,5.208494891524504e-07,1
5.216756777837311e-07,1.002698528473664,5.216756777837311e-07,1
5.225835073548616e-07,1.001636813547481,5.225835073548616e-07,1
5.235887513715969e-07,1.00079104708379,5.235887513715969e-07,1
5.247081020630954e-07,1.000144565510997,5.247081020630954e-07,1
5.259615821327572e-07,0.9996767144633648,5.259615821327572e-07,1
5.273769689628917e-07,0.9993620765743385,5.273769689628917e-07,1
5.289953904885413e-07,0.9991723479597976,5.289953904885413e-07,1
5.308801567237515e-07,0.9990786823738251,5.308801567237515e-07,1
5.331334337050453e-07,0.9990535734192735,5.331334337050453e-07,1
5.359325633293152e-07,0.9990720915593055,5.359325633293152e-07,1
